date_game,date,time,home,away,score1,score2,set1p1,set1p2,set2p1,set2p2,set3p1,set3p2,set4p1,set4p2,set5p1,set5p2,win,pr_home,pr_away,elo_home,elo_away
2021-11-09,2021-11-09 15:47:00,15:47,Лбов Ю,Демченко В,3,2,11,4,9,11,11,9,7,11,11,9,1,0.4802381301330077,0.5197618698669924,991.0426984896325,995.2181907972237
2021-11-09,2021-11-09 15:51:00,15:51,Курильчик Н,Андреев Д,3,0,11,5,11,6,11,9,0,0,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 16:01:00,16:01,Немашкало В,Селькин В,3,2,11,7,10,12,16,14,9,11,11,9,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 16:18:00,16:18,Матвеев И,Полетаев И,2,3,11,8,11,2,6,11,8,11,6,11,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 16:19:00,16:19,Попов Д,Тихненко Д,3,0,11,8,11,9,11,4,0,0,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 16:45:00,16:45,Демченко В,Попов Д,2,3,11,4,12,10,5,11,3,11,4,11,0,0.4865017718833958,0.5134982281166043,990.7423744958965,1009.0758163013272
2021-11-09,2021-11-09 16:45:00,16:45,Андреев Д,Матвеев И,3,2,11,8,9,11,11,7,12,14,11,8,1,0.5,0.5,1000.0,990.8
2021-11-09,2021-11-09 16:48:00,16:48,Кольмин А,Немашкало В,3,2,8,11,15,13,11,4,10,12,11,3,1,0.4867632293394211,0.5132367706605789,1000.1217782900773,999.8782217099227
2021-11-09,2021-11-09 17:16:00,17:16,Полетаев И,Курильчик Н,2,3,11,9,10,12,11,9,8,11,9,11,0,0.5,0.5,1000.0,1009.2
2021-11-09,2021-11-09 17:16:00,17:16,Тихненко Д,Лбов Ю,3,2,11,5,8,11,11,6,14,16,13,11,1,0.5062703322005514,0.4937296677994486,999.9423129437549,986.5003855458775
2021-11-09,2021-11-09 17:33:00,17:33,Селькин В,Гусев М,3,1,11,2,11,9,10,12,11,6,0,0,1,0.4867632293394211,0.5132367706605789,1000.1217782900773,999.8782217099227
2021-11-09,2021-11-09 17:49:00,17:49,Курильчик Н,Матвеев И,3,0,11,3,11,8,15,13,0,0,0,0,1,0.5264550003767342,0.4735449996232658,1013.5566139965341,986.4433860034659
2021-11-09,2021-11-09 17:51:00,17:51,Лбов Ю,Попов Д,1,3,5,11,11,8,6,11,8,11,0,0,0,0.4675569893841133,0.5324430106158867,982.1988612435437,1013.3773406036611
2021-11-09,2021-11-09 17:58:00,17:58,Гусев М,Немашкало В,1,3,6,11,11,6,10,12,8,11,0,0,0,0.5,0.5,995.2782217099227,1004.4782217099228
2021-11-09,2021-11-09 18:14:00,18:14,Андреев Д,Полетаев И,3,0,11,9,11,9,11,5,0,0,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 18:15:00,18:15,Демченко В,Тихненко Д,2,3,11,7,11,8,4,11,7,11,5,11,0,0.48676331785799215,0.5132366821420078,986.2641519716029,1004.4205354680485
2021-11-09,2021-11-09 18:27:00,18:27,Кольмин А,Селькин В,1,3,13,15,9,11,11,6,12,14,0,0,0,0.5,0.5,995.5217782900772,1004.7217782900773
2021-11-09,2021-11-09 18:48:00,18:48,Полетаев И,Матвеев И,3,2,11,6,12,14,10,12,11,5,14,12,1,0.5128867490915349,0.48711325090846513,999.8814419083578,981.961944095108
2021-11-09,2021-11-09 18:49:00,18:49,Лбов Ю,Демченко В,3,0,11,9,11,8,11,8,0,0,0,0,1,0.49414984333567835,0.5058501566643216,986.8526826848554,981.6103305302912
2021-11-09,2021-11-09 19:11:00,19:11,Гусев М,Кольмин А,1,3,6,11,11,5,5,11,4,11,0,0,0,0.4996494939631872,0.5003505060368127,990.6814463654614,1000.1185536345386
2021-11-09,2021-11-09 19:40:00,19:40,Курильчик Н,Андреев Д,3,0,11,8,11,1,13,11,0,0,0,0,1,0.5128867490915349,0.48711325090846513,1018.038055904892,1000.1185580916422
2021-11-09,2021-11-09 19:42:00,19:42,Попов Д,Тихненко Д,3,0,11,6,12,10,11,7,0,0,0,0,1,0.5128870239800541,0.48711297601994585,1017.8587799830445,999.939096088665
2021-11-09,2021-11-09 19:55:00,19:55,Селькин В,Немашкало В,2,3,11,9,9,11,11,3,8,11,9,11,0,0.5003505060368127,0.49964949396318725,1000.1185536345386,1009.0814463654615
2021-11-09,2021-11-09 19:58:00,19:58,Маршалов В,Никулин С,2,3,8,11,11,9,8,11,11,7,6,11,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 19:59:00,19:59,Ширшов А,Пиньковский П,3,1,6,11,11,8,11,5,12,10,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 20:27:00,20:27,Мишакин В,Духин М,1,3,6,11,5,11,11,9,5,11,0,0,0,0.47389453739412996,0.5261054626058701,995.640170255974,1022.5162731638713
2021-11-09,2021-11-09 20:27:00,20:27,Крючков Е,Петроченко Д,2,3,11,7,9,11,5,11,11,5,8,11,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 20:29:00,20:29,Пронкин М,Каплан С,1,3,8,11,11,9,9,11,9,11,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 20:44:00,20:44,Марченко М,Бардышев Г,3,2,10,12,10,12,11,3,11,9,12,10,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 20:58:00,20:58,Никулин С,Крючков Е,3,2,11,6,11,7,6,11,5,11,11,8,1,0.5132367706605789,0.48676322933942107,1009.0782217099227,990.9217782900773
2021-11-09,2021-11-09 20:58:00,20:58,Пиньковский П,Пронкин М,3,0,11,7,11,7,11,6,0,0,0,0,1,0.5,0.5,1000.0,990.8
2021-11-09,2021-11-09 21:17:00,21:17,Каплан С,Ширшов А,2,3,11,8,10,12,11,6,9,11,8,11,0,0.5,0.5,1000.0,1009.2
2021-11-09,2021-11-09 21:17:00,21:17,Духин М,Марченко М,3,0,11,5,11,9,11,9,0,0,0,0,1,0.5257607596261936,0.4742392403738064,1026.8792741753105,1000.236998988561
2021-11-09,2021-11-09 21:26:00,21:26,Петроченко Д,Маршалов В,3,1,11,8,7,11,11,8,11,9,0,0,1,0.5132367706605789,0.48676322933942107,1009.0782217099227,990.9217782900773
2021-11-09,2021-11-09 21:34:00,21:34,Бардышев Г,Мишакин В,3,0,11,8,11,8,11,4,0,0,0,0,1,0.49965436727306184,0.5003456327269382,1000.0031798210878,991.0369904348862
2021-11-09,2021-11-09 21:47:00,21:47,Мишакин В,Марченко М,2,3,11,7,5,11,11,8,6,11,4,11,0,0.4867632170383209,0.5132367829616791,986.5587688381337,1004.7152205853135
2021-11-09,2021-11-09 21:54:00,21:54,Маршалов В,Крючков Е,3,0,11,7,11,4,11,3,0,0,0,0,1,0.5,0.5,995.5217782900773,986.3217782900773
2021-11-09,2021-11-09 22:05:00,22:05,Ширшов А,Пронкин М,3,2,12,14,11,8,6,11,13,11,11,9,1,0.5264550003767342,0.4735449996232658,1013.5566139965341,986.4433860034659
2021-11-09,2021-11-09 22:09:00,22:09,Духин М,Бардышев Г,3,2,14,12,7,11,11,4,11,13,11,2,1,0.5386008451594214,0.4613991548405786,1031.1241463998438,995.7583075965545
2021-11-09,2021-11-09 22:16:00,22:16,Никулин С,Петроченко Д,1,3,5,11,11,6,7,11,6,11,0,0,0,0.5,0.5,1004.4782217099227,1013.6782217099227
